"LOCATION","STATUS","DESCRIPTION","ADDRESS1","ADDRESS2","CITY","STATE","ZIP"
"L0931","A","Capitola","3820 Capitola Road"," ","Capitola","CA","95010"
"L0932","A","Ketchum","600 Sun Valley Road","P.O. Box 5307","Ketchum","ID","83340"
"L0934","A","4213 Dale Road","4213 Dale Road","Suite 7. Building C","Modesto","CA","953568505"
"L0936","A","Sun City","1171 E Rancho Vistoso Blvd","Suite 101","Oro Valley","AZ","85755"
"L0937","A","Grand Junction Clifton","3201 F Road"," ","Clifton","CO","81520"
"L0938","A","239 Westlake Center","239 Westlake Center"," ","Daly City","CA","94015"
"L0939","A","Wichita ABC","2544 N Maize Ct.,","Suite 300","Wichita","KS","67212"
"L0940","A","2001 Pine Lake Rd Ste. 350","2001 Pine Lake Rd","Suite 350","Lincoln","NE","68512"
"L0941","A","Fremont East 23rd","1330 E. 23rd"," ","Fremont","NE","68025"
"L0944","A","Los Lunas","2610 Main Street NW"," ","Los Lunas","NM","87031"
"L0945","A","Lone Tree Landing","5009 Lone Tree Way","Suite D","Antioch","CA","94531"
"L0947","A","Tucson-Creekside","3175 N Swan Road","Suite 101","Tucson","AZ","85712"
"L0949","A","521 N Bailey St","521 N Bailey St"," ","North Platte","NE","69103"
"L0952","A","Boise 9th street","827 W. Idaho St"," ","Boise","ID","83702"
"L0953","A","245 Roselawn Avenue E","245 Roselawn Avenue E","Suite 31","St. Paul","MN","55117"
"L0954","A","7618 SW Mohawk Street","7618 SW Mohawk Street"," ","Tualatin","OR","97062"
"L0956","A","El Dorado Hills","2211 Francisco Drive","Suite 100","El Dorado Hills","CA","95762"
"L0957","A","Marana Marketplace","3775 W. Orange Grove Road"," ","Tucson","AZ","85741"
"L0960","A","Sheldon","8106 Sheldon Rd"," ","Elk Grove","CA","95758"
"L0963","A","Elk Grove","8426 Elk Grove-Florin Road"," ","Elk Grove","CA","95624"
"L0964","A","Eagle:","47 East Riverside Drive"," ","Eagle","ID","83616"
"L0965","A","NBD-Seattle","701 Pike Street","Ste. 2250","Seattle","WA","98101"
"L0966","A","Oklahoma Regional Office","3600 NW 138th St","Suite 101","Oklahoma City","OK","73134"
"L0967","A","Carmichael","4001 Manzanita Ave"," ","Carmichael","CA","95608"
"L0968","A","787 Seventh Avenue","787 7th Avenue","33rd Floor","New York","NY","10019"
"L0969","A","6873 N. West Ave Fresno","6873 N. West Avenue","Suite 102","Fresno","CA","93711"
"L0970","A","Wichita West","757 N West Street"," ","Wichita","KS","67203"
"L0971","A","Nursery and Greenhouse ABC","32605 Temecula Parkway","Suite 200","Temecula","CA","92592"
"L0973","A","350 N. 9th St Boise","350 N. 9th St","Suite 202","Boise","ID","83702"
"L0974","A","Meridian ID","1630 S Wells Ave"," ","Meridian","ID","83642"
